record_id,date_time,city_zone,station_type,vehicles_charged,avg_charging_duration_minutes,energy_dispensed_kwh,grid_load_mw,renewable_energy_used_percent,peak_load_risk
1,2024-01-01 00:00:00,Central,Supercharger,9,101.6,238.64,179.28,59.1,Medium
2,2024-01-01 01:00:00,South,Fast,15,23.5,129.5,198.56,73.6,Low
3,2024-01-01 02:00:00,West,Normal,3,104.7,65.67,134.21,63.7,Low
4,2024-01-01 03:00:00,West,Fast,22,108.6,303.83,76.49,17.0,Medium
5,2024-01-01 04:00:00,Central,Fast,21,78.6,156.32,256.73,17.9,Low
6,2024-01-01 05:00:00,South,Normal,11,48.0,340.22,434.02,7.6,High
7,2024-01-01 06:00:00,North,Supercharger,22,79.8,260.61,205.14,52.0,Medium
8,2024-01-01 07:00:00,South,Normal,9,90.1,126.35,154.79,28.6,Low
9,2024-01-01 08:00:00,East,Fast,11,29.9,170.07,366.73,40.6,Medium
10,2024-01-01 09:00:00,East,Normal,8,23.4,196.58,288.84,65.0,High
11,2024-01-01 10:00:00,North,Fast,20,57.5,210.02,265.12,42.1,Low
12,2024-01-01 11:00:00,Central,Supercharger,24,74.6,285.0,371.73,23.9,Medium
13,2024-01-01 12:00:00,North,Fast,4,114.9,39.8,264.32,20.1,High
14,2024-01-01 13:00:00,Central,Normal,16,104.0,324.84,444.48,72.8,High
15,2024-01-01 14:00:00,North,Fast,19,86.1,34.96,488.5,62.5,Medium
16,2024-01-01 15:00:00,West,Fast,11,104.5,272.49,413.27,29.2,High
17,2024-01-01 16:00:00,East,Normal,7,54.3,292.97,77.52,82.6,Medium
18,2024-01-01 17:00:00,West,Fast,11,109.6,55.61,372.22,42.8,Medium
19,2024-01-01 18:00:00,Central,Normal,5,96.5,320.74,272.22,55.7,Low
20,2024-01-01 19:00:00,Central,Supercharger,4,49.2,257.19,241.4,76.5,High
21,2024-01-01 20:00:00,North,Normal,6,79.4,182.37,485.83,12.2,High
22,2024-01-01 21:00:00,North,Normal,8,56.1,234.82,468.53,19.1,Medium
23,2024-01-01 22:00:00,North,Supercharger,6,51.0,94.14,115.48,57.4,Low
24,2024-01-01 23:00:00,West,Normal,9,114.4,212.49,217.79,65.6,Low
25,2024-01-02 00:00:00,North,Fast,17,93.9,190.52,77.48,82.0,Medium
26,2024-01-02 01:00:00,East,Supercharger,11,74.0,271.92,330.49,26.1,Low
27,2024-01-02 02:00:00,North,Fast,17,110.6,176.08,107.39,21.9,Low
28,2024-01-02 03:00:00,South,Supercharger,22,111.7,65.09,482.88,82.1,High
29,2024-01-02 04:00:00,Central,Normal,19,26.2,234.56,258.79,38.8,Low
30,2024-01-02 05:00:00,South,Normal,10,25.7,244.9,139.5,13.5,High
31,2024-01-02 06:00:00,West,Fast,7,116.0,122.92,343.49,54.9,Low
32,2024-01-02 07:00:00,West,Normal,14,34.1,153.52,303.78,16.1,Low
33,2024-01-02 08:00:00,North,Supercharger,21,49.8,63.97,492.26,45.2,Medium
34,2024-01-02 09:00:00,West,Fast,1,72.0,346.38,342.73,21.7,High
35,2024-01-02 10:00:00,North,Fast,12,42.1,17.66,319.09,33.2,Low
36,2024-01-02 11:00:00,South,Fast,2,118.1,148.81,209.73,75.1,Low
37,2024-01-02 12:00:00,North,Fast,8,65.4,237.67,262.75,21.4,Low
38,2024-01-02 13:00:00,North,Normal,2,80.2,235.0,97.01,41.4,High
39,2024-01-02 14:00:00,Central,Normal,21,107.5,196.69,137.86,55.8,Low
40,2024-01-02 15:00:00,Central,Normal,17,58.3,215.23,337.59,60.2,Low
41,2024-01-02 16:00:00,Central,Normal,19,98.6,247.32,121.65,78.2,Low
42,2024-01-02 17:00:00,East,Fast,3,118.5,238.6,460.81,13.2,Low
43,2024-01-02 18:00:00,South,Normal,20,96.1,157.99,206.81,30.1,Low
44,2024-01-02 19:00:00,West,Supercharger,16,75.5,206.79,482.42,48.6,Medium
45,2024-01-02 20:00:00,North,Normal,4,95.4,335.24,115.37,16.2,Medium
46,2024-01-02 21:00:00,Central,Normal,21,18.6,317.05,304.79,41.9,Medium
47,2024-01-02 22:00:00,North,Supercharger,1,114.0,43.41,133.16,9.4,Medium
48,2024-01-02 23:00:00,Central,Fast,18,83.6,143.64,114.54,29.5,Low
49,2024-01-03 00:00:00,West,Fast,6,21.6,162.09,125.33,53.8,Medium
50,2024-01-03 01:00:00,South,Fast,11,61.7,70.53,188.78,35.6,Low
51,2024-01-03 02:00:00,West,Fast,6,77.6,290.1,409.14,64.0,High
52,2024-01-03 03:00:00,West,Normal,12,41.0,49.06,437.52,64.0,Low
53,2024-01-03 04:00:00,West,Supercharger,2,29.6,56.75,185.5,74.8,Medium
54,2024-01-03 05:00:00,South,Supercharger,23,86.0,212.58,74.75,80.2,High
55,2024-01-03 06:00:00,West,Fast,20,116.2,121.7,399.22,31.4,High
56,2024-01-03 07:00:00,West,Normal,9,65.1,42.45,318.24,65.4,Low
57,2024-01-03 08:00:00,Central,Fast,9,89.9,247.55,176.81,9.9,Low
58,2024-01-03 09:00:00,West,Normal,7,40.6,306.63,229.59,46.0,Medium
59,2024-01-03 10:00:00,South,Normal,15,102.9,99.48,260.58,71.1,High
60,2024-01-03 11:00:00,West,Supercharger,17,119.0,329.2,326.08,55.6,Medium
61,2024-01-03 12:00:00,South,Fast,15,84.0,89.52,319.01,50.8,Medium
62,2024-01-03 13:00:00,South,Normal,9,62.2,70.72,106.56,11.6,High
63,2024-01-03 14:00:00,South,Fast,15,29.0,250.11,286.6,49.6,Medium
64,2024-01-03 15:00:00,East,Fast,6,111.1,158.26,495.78,70.5,High
65,2024-01-03 16:00:00,West,Fast,4,51.5,312.47,129.6,17.9,Low
66,2024-01-03 17:00:00,East,Normal,21,105.2,167.6,289.29,33.2,Low
67,2024-01-03 18:00:00,East,Fast,9,18.3,46.86,182.76,51.0,Medium
68,2024-01-03 19:00:00,West,Fast,9,56.8,19.24,226.85,10.2,Medium
69,2024-01-03 20:00:00,West,Normal,7,98.7,19.61,321.35,34.6,Low
70,2024-01-03 21:00:00,East,Normal,2,30.5,239.73,396.43,37.4,Medium
71,2024-01-03 22:00:00,North,Supercharger,9,21.7,11.86,267.85,58.7,Low
72,2024-01-03 23:00:00,Central,Fast,8,46.3,297.24,219.65,49.7,High
73,2024-01-04 00:00:00,West,Fast,20,90.1,187.07,457.75,81.4,Low
74,2024-01-04 01:00:00,South,Normal,5,57.7,138.66,499.97,59.0,Medium
75,2024-01-04 02:00:00,South,Fast,8,79.1,193.48,396.53,52.2,Medium
76,2024-01-04 03:00:00,Central,Fast,18,88.2,236.98,248.32,19.7,Low
77,2024-01-04 04:00:00,West,Normal,17,23.5,98.13,315.2,39.7,Medium
78,2024-01-04 05:00:00,Central,Fast,9,32.2,324.47,279.89,34.8,Low
79,2024-01-04 06:00:00,Central,Fast,19,55.6,69.94,499.96,65.0,Low
80,2024-01-04 07:00:00,Central,Supercharger,1,37.2,53.48,421.72,79.6,Low
81,2024-01-04 08:00:00,West,Supercharger,9,88.3,222.99,344.44,52.7,High
82,2024-01-04 09:00:00,West,Normal,9,46.2,257.52,493.93,37.4,Medium
83,2024-01-04 10:00:00,North,Normal,12,81.3,157.77,70.12,25.5,Low
84,2024-01-04 11:00:00,Central,Normal,9,89.3,193.6,230.55,83.8,Medium
85,2024-01-04 12:00:00,West,Normal,6,94.9,155.25,160.04,23.1,Low
86,2024-01-04 13:00:00,North,Fast,12,101.9,128.02,304.11,83.7,Low
87,2024-01-04 14:00:00,East,Normal,14,84.5,282.48,270.02,22.2,Low
88,2024-01-04 15:00:00,East,Normal,5,51.6,318.82,93.88,11.3,Low
89,2024-01-04 16:00:00,West,Fast,15,18.2,98.54,145.18,57.0,Low
90,2024-01-04 17:00:00,East,Supercharger,23,47.3,335.57,311.04,38.2,Low
91,2024-01-04 18:00:00,West,Supercharger,19,89.2,219.9,266.44,54.4,High
92,2024-01-04 19:00:00,Central,Normal,21,117.3,133.84,248.01,26.9,Low
93,2024-01-04 20:00:00,Central,Normal,16,18.7,275.27,333.3,70.2,Low
94,2024-01-04 21:00:00,North,Normal,16,35.2,339.36,376.72,10.2,Low
95,2024-01-04 22:00:00,Central,Fast,3,28.3,191.36,132.3,48.4,High
96,2024-01-04 23:00:00,West,Supercharger,9,28.6,341.47,99.05,70.6,Low
97,2024-01-05 00:00:00,South,Normal,4,35.1,323.72,427.18,56.0,Low
98,2024-01-05 01:00:00,East,Fast,15,67.3,181.65,468.01,37.8,High
99,2024-01-05 02:00:00,Central,Fast,1,55.0,16.66,372.35,81.6,Medium
100,2024-01-05 03:00:00,Central,Fast,14,116.7,151.98,202.4,46.1,High
101,2024-01-05 04:00:00,South,Supercharger,17,17.0,200.85,245.17,33.9,Medium
102,2024-01-05 05:00:00,South,Normal,3,103.4,31.28,102.6,50.1,Medium
103,2024-01-05 06:00:00,East,Normal,8,74.8,29.4,297.78,34.4,Low
104,2024-01-05 07:00:00,North,Fast,6,40.9,29.29,277.54,34.1,Low
105,2024-01-05 08:00:00,Central,Normal,4,99.7,32.47,312.43,38.6,High
106,2024-01-05 09:00:00,East,Normal,14,114.8,334.25,453.25,7.7,High
107,2024-01-05 10:00:00,Central,Fast,6,15.8,326.3,387.76,79.8,Low
108,2024-01-05 11:00:00,North,Normal,18,116.6,49.28,164.12,44.9,Low
109,2024-01-05 12:00:00,East,Normal,2,21.2,264.14,70.19,23.9,Low
110,2024-01-05 13:00:00,West,Normal,3,28.4,158.61,336.5,46.8,Low
111,2024-01-05 14:00:00,East,Supercharger,13,55.1,57.9,84.28,11.8,Medium
112,2024-01-05 15:00:00,Central,Fast,2,28.5,302.17,275.9,56.2,Medium
113,2024-01-05 16:00:00,South,Normal,24,43.5,238.19,112.69,24.6,High
114,2024-01-05 17:00:00,East,Fast,16,79.6,270.91,290.04,45.6,Medium
115,2024-01-05 18:00:00,South,Supercharger,20,104.9,83.93,486.12,68.2,Medium
116,2024-01-05 19:00:00,South,Fast,4,39.7,194.1,280.21,29.7,Low
117,2024-01-05 20:00:00,Central,Supercharger,14,105.2,274.87,249.71,33.2,Medium
118,2024-01-05 21:00:00,South,Normal,15,113.1,256.56,391.19,64.9,Medium
119,2024-01-05 22:00:00,North,Fast,13,48.7,294.51,181.33,28.7,Low
120,2024-01-05 23:00:00,Central,Supercharger,2,88.6,242.02,233.9,69.4,Low
121,2024-01-06 00:00:00,South,Supercharger,8,31.0,19.25,495.73,11.2,Low
122,2024-01-06 01:00:00,Central,Normal,3,43.4,83.52,123.26,27.9,Low
123,2024-01-06 02:00:00,West,Fast,22,100.3,254.76,388.17,37.6,Medium
124,2024-01-06 03:00:00,Central,Normal,20,20.7,219.76,54.83,47.2,High
125,2024-01-06 04:00:00,South,Normal,13,95.6,279.26,466.54,48.7,Medium
126,2024-01-06 05:00:00,West,Fast,24,118.0,204.31,60.08,35.6,Low
127,2024-01-06 06:00:00,North,Fast,5,93.6,232.72,307.95,63.9,Medium
128,2024-01-06 07:00:00,South,Normal,24,99.5,324.26,62.56,23.1,Medium
129,2024-01-06 08:00:00,West,Normal,18,19.2,43.51,369.44,62.0,High
130,2024-01-06 09:00:00,Central,Supercharger,22,24.0,33.89,482.55,69.2,Low
131,2024-01-06 10:00:00,North,Fast,10,65.6,337.79,461.51,78.9,Medium
132,2024-01-06 11:00:00,West,Fast,17,74.2,261.57,416.23,71.4,Low
133,2024-01-06 12:00:00,South,Normal,6,93.6,124.63,361.93,6.9,Low
134,2024-01-06 13:00:00,Central,Fast,9,43.4,225.88,191.07,70.2,Low
135,2024-01-06 14:00:00,Central,Normal,21,17.9,238.93,116.15,21.6,Low
136,2024-01-06 15:00:00,Central,Normal,14,58.6,22.76,347.49,43.4,Low
137,2024-01-06 16:00:00,East,Normal,3,106.1,307.15,243.31,16.9,High
138,2024-01-06 17:00:00,South,Fast,2,62.0,35.61,258.7,56.1,Low
139,2024-01-06 18:00:00,West,Fast,4,24.6,318.12,83.49,26.9,Medium
140,2024-01-06 19:00:00,West,Fast,16,81.5,45.56,101.99,52.8,Low
141,2024-01-06 20:00:00,East,Normal,19,79.3,89.25,232.88,7.9,Low
142,2024-01-06 21:00:00,Central,Fast,9,65.9,138.7,187.42,5.9,Medium
143,2024-01-06 22:00:00,North,Supercharger,24,113.2,260.92,458.38,70.3,Medium
144,2024-01-06 23:00:00,West,Supercharger,2,112.8,207.34,187.34,17.5,Medium
145,2024-01-07 00:00:00,North,Supercharger,6,17.6,312.58,377.07,13.8,Medium
146,2024-01-07 01:00:00,South,Normal,22,103.6,109.9,332.79,13.2,Medium
147,2024-01-07 02:00:00,North,Fast,15,80.7,45.73,284.18,51.0,Low
148,2024-01-07 03:00:00,Central,Fast,1,89.6,276.69,275.71,21.5,High
149,2024-01-07 04:00:00,West,Normal,14,41.7,338.42,455.95,27.0,Low
150,2024-01-07 05:00:00,South,Fast,18,101.3,293.31,177.7,45.3,High
151,2024-01-07 06:00:00,East,Supercharger,3,118.4,84.52,350.88,37.2,Low
152,2024-01-07 07:00:00,North,Fast,4,81.1,173.69,397.9,65.2,Low
153,2024-01-07 08:00:00,East,Fast,13,25.6,25.12,435.17,61.1,Low
154,2024-01-07 09:00:00,North,Normal,3,84.0,328.92,491.14,79.0,Medium
155,2024-01-07 10:00:00,East,Normal,2,109.7,120.54,341.21,39.5,Low
156,2024-01-07 11:00:00,South,Fast,17,102.5,118.61,412.88,35.5,Low
157,2024-01-07 12:00:00,South,Fast,10,70.4,226.12,408.52,15.7,Low
158,2024-01-07 13:00:00,West,Normal,18,35.2,63.4,165.05,40.8,Low
159,2024-01-07 14:00:00,South,Normal,3,30.2,266.4,414.89,32.7,High
160,2024-01-07 15:00:00,North,Normal,9,76.6,41.59,130.76,25.2,Low
161,2024-01-07 16:00:00,North,Fast,8,25.8,42.97,203.51,50.0,Medium
162,2024-01-07 17:00:00,South,Normal,15,61.9,99.9,60.55,62.9,Medium
163,2024-01-07 18:00:00,South,Fast,5,112.7,31.35,393.85,8.8,Medium
164,2024-01-07 19:00:00,South,Normal,16,72.5,212.77,447.61,55.5,Low
165,2024-01-07 20:00:00,West,Fast,5,46.6,213.95,106.71,44.3,Low
166,2024-01-07 21:00:00,East,Normal,13,35.5,61.52,187.26,57.0,High
167,2024-01-07 22:00:00,North,Supercharger,2,92.0,62.1,300.23,6.6,Medium
168,2024-01-07 23:00:00,East,Normal,13,23.1,211.6,87.79,47.9,Low
169,2024-01-08 00:00:00,East,Normal,24,28.9,263.36,252.49,78.6,Low
170,2024-01-08 01:00:00,Central,Supercharger,9,77.9,161.09,195.65,56.8,Low
171,2024-01-08 02:00:00,East,Normal,24,16.7,237.22,58.34,65.5,Medium
172,2024-01-08 03:00:00,West,Fast,3,28.5,141.62,334.66,49.4,Medium
173,2024-01-08 04:00:00,Central,Normal,15,110.4,286.26,280.5,44.2,Low
174,2024-01-08 05:00:00,North,Normal,16,83.2,185.08,412.99,62.6,Medium
